"Rk_name","Rk_Pk","Rk_Tm","Rk_Player","Rk_College","Rk_Yrs","Rk_G","Rk_MP","Rk_PTS","Rk_TRB","Rk_AST","Rk_FG_","Rk__3P_","Rk_FT_","Rk_WS","Rk_WS_48","Rk_BPM","Rk_VORP"
"24","24","CHH","Shabazz Napier","UConn","6","345","17.4","7.1","1.9","2.5",".397",".345",".815","8.1",".065","-0.7","2.0"
"25","25","HOU","Clint Capela","","6","334","26.0","12.2","9.7","1.0",".634",".000",".526","36.4",".201","1.9","8.5"
"26","26","MIA","P.J. Hairston","UNC","2","111","18.0","6.0","2.4","0.5",".343",".295",".810","0.9",".021","-3.9","-1.0"
"27","27","PHO","Bogdan Bogdanović","","3","209","28.2","13.5","3.2","3.5",".434",".374",".806","8.7",".071","-0.6","2.2"
"28","28","LAC","C.J. Wilcox","Washington","3","66","5.7","2.0","0.5","0.5",".370",".333",".813","0.1",".007","-4.3","-0.2"
"29","29","OKC","Josh Huestis","Stanford","3","76","14.1","2.5","2.4","0.3",".346",".312",".240","0.7",".030","-3.5","-0.4"
"30","30","SAS","Kyle Anderson","UCLA","6","367","19.7","5.4","4.0","2.0",".488",".311",".699","17.9",".119","1.4","6.3"
"31","31","MIL","Damien Inglis","","1","20","7.8","1.8","1.6","0.5",".351",".231",".875","-0.1","-.024","-5.6","-0.1"
"32","32","PHI","K.J. McDaniels","Clemson","3","148","14.1","5.3","2.2","0.6",".412",".290",".776","1.3",".030","-2.8","-0.4"
"33","33","CLE","Joe Harris","Virginia","6","331","24.3","10.4","3.1","1.6",".479",".426",".779","14.7",".088","-0.7","2.5"
"34","34","NYK","Cleanthony Early","Wichita State","2","56","14.3","4.3","2.2","0.8",".346",".263",".750","-0.6","-.039","-5.9","-0.8"
"35","35","UTA","Jarnell Stokes","Tennessee","3","28","5.4","2.4","1.4","0.3",".581","",".531","0.6",".202","0.1","0.1"
"36","36","MIL","Johnny O'Bryant","LSU","4","147","11.5","3.5","2.4","0.5",".402",".360",".663","0.2",".006","-6.2","-1.8"
"37","37","TOR","DeAndre Daniels","UConn","","","","","","","","","","","","",""
"38","38","DET","Spencer Dinwiddie","Colorado","6","317","25.7","12.9","2.8","5.0",".410",".318",".793","18.3",".108","0.4","4.8"
"39","39","PHI","Jerami Grant","Syracuse","6","454","24.5","9.3","3.9","1.1",".465",".347",".669","22.6",".098","-0.9","3.1"
"40","40","MIN","Glenn Robinson","Michigan","6","281","17.5","6.0","2.6","0.8",".459",".373",".768","7.6",".074","-1.5","0.6"
"41","41","DEN","Nikola Jokić","","5","381","29.0","17.0","9.6","5.5",".524",".338",".826","48.7",".212","7.1","25.4"
"42","42","HOU","Nick Johnson","Arizona","1","28","9.4","2.6","1.4","0.4",".347",".238",".680","-0.1","-.020","-6.5","-0.3"
"43","43","ATL","Edy Tavares","","2","13","7.8","2.5","2.5","0.3",".625","",".273","0.2",".118","-0.4","0.0"
"44","44","MIN","Markel Brown","Oklahoma State","3","113","15.9","5.2","2.1","1.2",".380",".295",".781","1.1",".029","-2.9","-0.4"
"45","45","CHH","Dwight Powell","Stanford","6","371","18.7","7.7","4.6","1.0",".563",".293",".739","26.0",".179","1.4","6.1"
"46","46","WAS","Jordan Clarkson","Missouri","6","453","27.0","14.8","3.1","2.6",".446",".342",".818","13.9",".055","-0.7","3.9"
"47","47","PHI","Russ Smith","Louisville","2","27","4.9","2.0","0.6","0.7",".319",".188",".769","-0.2","-.068","-5.1","-0.1"
"48","48","MIL","Lamar Patterson","Pitt","2","40","10.9","2.3","1.4","1.1",".326",".236",".720","0.1",".006","-5.7","-0.4"
"49","49","CHI","Cameron Bairstow","New Mexico","2","36","4.6","1.2","1.0","0.2",".296",".200",".846","-0.1","-.021","-8.1","-0.3"
"50","50","PHO","Alec Brown","Green Bay","","","","","","","","","","","","",""
"51","51","NYK","Thanasis Antetokounmpo","","2","22","6.1","2.8","1.1","0.7",".519",".000",".412","0.2",".080","-2.8","0.0"
"52","52","PHI","Vasilije Micić","","","","","","","","","","","","","",""
"53","53","MIN","Alessandro Gentile","","","","","","","","","","","","","",""
"54","54","PHI","Nemanja Dangubić","","","","","","","","","","","","","",""
"55","55","MIA","Semaj Christon","Xavier","1","64","15.2","2.9","1.4","2.0",".345",".190",".548","0.1",".006","-5.1","-0.8"
"56","56","DEN","Devyn Marble","Iowa","2","44","10.4","2.2","1.6","0.7",".304",".222",".375","-0.3","-.028","-5.5","-0.4"
"57","57","IND","Louis Labeyrie","","","","","","","","","","","","","",""
"58","58","SAS","Jordan McRae","Tennessee","4","123","13.8","6.9","1.8","1.4",".417",".355",".772","1.7",".048","-2.1","0.0"
"59","59","TOR","Xavier Thames","San Diego State","","","","","","","","","","","","",""
"60","60","SAS","Cory Jefferson","Baylor","2","58","10.0","3.5","2.8","0.3",".444",".125",".583","0.9",".071","-3.3","-0.2"
"1","1","CLE","Anthony Bennett","UNLV","4","151","12.6","4.4","3.1","0.5",".392",".261",".670","0.5",".013","-4.8","-1.3"
"2","2","ORL","Victor Oladipo","Indiana","7","421","33.0","17.3","4.6","3.9",".441",".350",".794","24.3",".084","1.1","10.8"
"3","3","WAS","Otto Porter","Georgetown","7","413","26.8","11.0","4.9","1.5",".482",".404",".789","29.9",".129","1.7","10.4"
"4","4","CHA","Cody Zeller","Indiana","7","419","22.9","8.6","6.0","1.4",".513",".248",".731","27.7",".138","-0.5","3.7"
"5","5","PHO","Alex Len","Maryland","7","467","19.6","8.0","6.3","0.8",".495",".333",".690","18.0",".094","-2.0","-0.1"
"6","6","NOH","Nerlens Noel","Kentucky","6","361","22.1","8.0","6.2","1.2",".543",".286",".648","21.6",".130","0.9","5.9"
"7","7","SAC","Ben McLemore","Kansas","7","439","23.6","9.0","2.4","1.1",".421",".366",".779","8.0",".037","-3.0","-2.5"
"8","8","DET","Kentavious Caldwell-Pope","Georgia","7","539","29.2","11.6","3.2","1.6",".418",".349",".797","27.6",".084","-0.7","5.0"
"9","9","MIN","Trey Burke","Michigan","7","394","23.0","10.6","2.0","3.5",".410",".345",".800","11.6",".061","-1.1","2.0"
"10","10","POR","CJ McCollum","Lehigh","7","481","30.9","18.5","3.3","3.1",".454",".397",".827","32.0",".103","1.0","11.1"
"11","11","PHI","Michael Carter-Williams","Syracuse","7","360","25.3","10.4","4.4","4.4",".402",".256",".713","7.1",".037","-0.9","2.5"
"12","12","OKC","Steven Adams","Pitt","7","530","26.8","9.8","7.6","1.2",".589",".100",".557","45.2",".153","0.4","8.6"
"13","13","DAL","Kelly Olynyk","Gonzaga","7","500","21.3","9.7","4.8","1.9",".476",".373",".775","28.6",".129","0.8","7.5"
"14","14","UTA","Shabazz Muhammad","UCLA","5","278","17.2","9.0","2.8","0.5",".473",".319",".751","8.5",".085","-2.0","0.0"
"15","15","MIL","Giannis Antetokounmpo","","7","528","32.5","20.1","8.9","4.3",".526",".284",".722","64.4",".180","5.0","30.3"
"16","16","BOS","Lucas Nogueira","","4","141","12.4","3.2","2.8","0.5",".632",".265",".640","6.0",".165","2.3","1.9"
"17","17","ATL","Dennis Schröder","","7","496","25.5","14.1","2.8","4.6",".436",".337",".828","16.7",".063","-1.1","2.9"
"18","18","ATL","Shane Larkin","Miami (FL)","4","256","19.1","5.5","1.9","2.9",".422",".336",".777","4.4",".044","-2.4","-0.6"
"19","19","CLE","Sergey Karasev","","3","95","11.7","3.0","1.5","0.9",".395",".282",".842","0.8",".036","-3.4","-0.4"
"20","20","CHI","Tony Snell","New Mexico","7","501","22.5","6.5","2.3","1.2",".428",".385",".838","16.1",".068","-2.0","0.0"
"21","21","UTA","Gorgui Dieng","Louisville","7","515","22.0","7.9","6.1","1.4",".500",".342",".788","27.4",".116","0.2","6.2"
"22","22","BRK","Mason Plumlee","Duke","7","532","21.6","8.3","6.2","2.2",".574",".063",".562","34.3",".144","1.3","9.7"
"23","23","IND","Solomon Hill","Arizona","7","364","22.0","5.8","3.2","1.6",".395",".336",".801","10.7",".064","-2.0","-0.1"
"24","24","NYK","Tim Hardaway","Michigan","7","474","26.6","13.5","2.7","1.9",".421",".353",".816","19.5",".074","-1.0","3.1"
"25","25","LAC","Reggie Bullock","UNC","7","301","19.7","6.9","2.1","1.1",".430",".385",".826","10.3",".083","-0.8","1.8"
"26","26","MIN","Andre Roberson","Colorado","6","302","22.3","4.6","4.0","0.9",".477",".255",".468","12.7",".090","-0.6","2.4"
"27","27","DEN","Rudy Gobert","","7","474","29.5","11.7","11.0","1.4",".640",".000",".631","63.6",".218","3.8","20.4"
"28","28","SAS","Livio Jean-Charles","","","","","","","","","","","","","",""
"29","29","OKC","Archie Goodwin","Kentucky","4","165","14.5","6.3","2.0","1.2",".429",".236",".700","1.1",".022","-3.0","-0.6"
"30","30","PHO","Nemanja Nedović","","1","24","5.9","1.1","0.6","0.5",".205",".167",".875","-0.4","-.132","-10.0","-0.3"
"31","31","CLE","Allen Crabbe","California","7","381","24.0","9.1","2.8","1.1",".425",".387",".831","13.7",".072","-1.6","0.9"
"32","32","OKC","Álex Abrines","","3","174","16.0","5.3","1.4","0.5",".387",".368",".880","5.0",".086","-1.9","0.1"
"33","33","CLE","Carrick Felix","Arizona State","1","7","5.4","2.7","0.9","0.6",".500",".400",".750","0.0",".057","-3.4","0.0"
"34","34","HOU","Isaiah Canaan","Murray State","6","235","20.4","8.1","1.9","1.9",".371",".351",".836","4.3",".043","-2.4","-0.5"
"35","35","PHI","Glen Rice","Georgia Tech","2","16","9.5","2.7","1.5","0.6",".269",".250",".692","-0.2","-.065","-6.6","-0.2"
"36","36","SAC","Ray McCallum","Detroit Mercy","3","154","18.2","6.0","2.0","2.4",".408",".335",".711","2.1",".035","-2.6","-0.4"
"37","37","DET","Tony Mitchell","University of North Texas","1","21","3.8","1.0","1.2","0.1",".417","1.000",".579","0.2",".151","0.4","0.0"
"38","38","WAS","Nate Wolters","South Dakota State","3","84","18.8","5.5","2.2","2.5",".423",".261",".635","0.9",".028","-2.6","-0.2"
"39","39","POR","Jeff Withey","Kansas","5","206","10.1","3.2","2.5","0.3",".525",".143",".716","6.8",".157","0.5","1.3"
"40","40","POR","Grant Jerrett","Arizona","1","8","6.4","2.0","1.1","0.4",".269",".067","1.000","-0.1","-.128","-10.8","-0.1"
"41","41","MEM","Jamaal Franklin","San Diego State","2","24","7.3","1.8","1.0","0.4",".415",".462","1.000","0.0","-.006","-5.9","-0.2"
"42","42","PHI","Pierre Jackson","Baylor","1","8","10.5","4.4","1.1","2.4",".333",".273",".857","0.0",".021","-4.4","-0.1"
"43","43","MIL","Ricky Ledo","Providence","2","28","9.9","3.9","1.4","0.8",".336",".371",".769","-0.6","-.096","-7.6","-0.4"
"44","44","DAL","Mike Muscala","Bucknell","7","354","15.4","5.6","3.1","0.9",".460",".368",".839","13.2",".116","-0.2","2.4"
"45","45","POR","Marko Todorović","","","","","","","","","","","","","",""
"46","46","UTA","Erick Green","Virginia Tech","2","52","8.7","3.1","0.7","0.8",".377",".288",".857","0.1",".011","-4.0","-0.2"
"47","47","ATL","Raul Neto","","5","253","13.8","4.9","1.3","1.9",".446",".379",".789","5.7",".079","-1.5","0.5"
"48","48","LAL","Ryan Kelly","Duke","4","163","19.2","6.0","3.1","1.3",".378",".316",".797","3.0",".046","-2.6","-0.5"
"49","49","CHI","Erik Murphy","Florida","1","24","2.6","0.3","0.3","0.1",".231",".000","","-0.1","-.055","-8.6","-0.1"
"50","50","ATL","James Ennis","Cal State Long Beach","6","347","20.1","6.5","3.3","0.9",".455",".350",".795","14.1",".097","-1.4","1.0"
"51","51","ORL","Romero Osby","Oklahoma","","","","","","","","","","","","",""
"52","52","MIN","Lorenzo Brown","NC State","5","103","11.5","2.8","1.5","1.8",".364",".170",".707","-0.2","-.007","-3.5","-0.5"
"53","53","IND","Colton Iverson","Colorado State","","","","","","","","","","","","",""
"54","54","WAS","Arsalan Kazemi","Oregon","","","","","","","","","","","","",""
"55","55","MEM","Joffrey Lauvergne","","4","208","13.6","5.6","3.8","0.9",".479",".285",".719","5.2",".089","-2.1","-0.1"
"56","56","DET","Peyton Siva","Louisville","1","24","9.3","2.3","0.6","1.4",".316",".280",".733","-0.2","-.032","-6.4","-0.2"
"57","57","PHO","Alex Oriakhi","Missouri","","","","","","","","","","","","",""
"58","58","SAS","Deshaun Thomas","Ohio State","","","","","","","","","","","","",""
"59","59","MIN","Bojan Dubljević","","","","","","","","","","","","","",""
"60","60","MEM","Jānis Timma","","","","","","","","","","","","","",""
"1","1","NOH","Anthony Davis","Kentucky","8","528","34.5","24.0","10.4","2.2",".515",".319",".802","83.1",".219","6.3","38.1"
"2","2","CHA","Michael Kidd-Gilchrist","Kentucky","8","446","24.6","8.4","5.4","1.2",".474",".272",".715","21.0",".092","-1.8","0.6"
"3","3","WAS","Bradley Beal","Florida","8","545","34.6","21.0","4.0","4.0",".452",".380",".807","41.5",".106","1.6","17.0"
"4","4","CLE","Dion Waiters","Syracuse","8","419","28.2","13.1","2.6","2.8",".412",".346",".694","8.8",".036","-2.1","-0.4"
"5","5","SAC","Thomas Robinson","Kansas","5","313","13.4","4.9","4.8","0.6",".470",".000",".505","4.6",".053","-3.5","-1.6"
"6","6","POR","Damian Lillard","Weber State","8","615","36.4","24.2","4.2","6.5",".437",".373",".889","81.9",".176","4.7","37.8"
"7","7","GSW","Harrison Barnes","UNC","8","612","31.2","13.7","4.9","1.6",".448",".375",".796","34.3",".086","-1.0","4.5"
"8","8","TOR","Terrence Ross","Washington","8","561","24.7","11.0","2.8","1.1",".420",".370",".828","22.2",".077","-0.5","5.2"
"9","9","DET","Andre Drummond","UConn","8","599","31.0","14.5","13.8","1.3",".542",".146",".461","60.6",".156","1.5","16.3"
"10","10","NOH","Austin Rivers","Duke","8","552","24.5","9.2","2.1","2.3",".418",".348",".644","11.5",".041","-3.1","-3.6"
"11","11","POR","Meyers Leonard","Illinois","8","444","16.1","5.6","3.9","0.9",".482",".390",".811","15.5",".104","-1.4","1.1"
"12","12","HOU","Jeremy Lamb","UConn","8","481","21.2","10.5","3.7","1.6",".444",".339",".851","23.4",".110","0.7","7.0"
"13","13","PHO","Kendall Marshall","UNC","4","160","19.3","5.0","1.6","4.9",".399",".370",".611","1.0",".015","-3.5","-1.1"
"14","14","MIL","John Henson","UNC","8","445","19.7","7.6","5.3","1.1",".540",".250",".568","20.7",".113","-0.4","3.4"
"15","15","PHI","Maurice Harkless","St. John's","8","537","23.1","7.2","3.7","0.9",".478",".325",".612","21.9",".085","-0.5","4.7"
"16","16","HOU","Royce White","Iowa State","1","3","3.0","0.0","0.0","0.0",".000","","","0.0","-.121","-16.9","0.0"
"17","17","DAL","Tyler Zeller","UNC","8","414","17.5","6.9","4.4","0.9",".508",".286",".764","17.1",".113","-2.0","0.0"
"18","18","HOU","Terrence Jones","Kentucky","6","234","23.8","10.4","5.7","1.0",".501",".297",".621","14.7",".127","0.5","3.6"
"19","19","ORL","Andrew Nicholson","St. Bonaventure","5","285","14.3","6.0","3.0","0.4",".467",".321",".773","3.8",".045","-3.6","-1.6"
"20","20","DEN","Evan Fournier","","8","523","28.4","14.1","2.7","2.6",".449",".375",".807","24.0",".078","-1.1","3.2"
"21","21","BOS","Jared Sullinger","Ohio State","5","269","24.3","10.8","7.5","1.8",".436",".272",".723","15.3",".113","-0.4","2.7"
"22","22","BOS","Fab Melo","Syracuse","1","6","6.0","1.2","0.5","0.0",".500","",".250","0.0",".021","-7.6","-0.1"
"23","23","ATL","John Jenkins","Vanderbilt","6","171","12.8","5.0","1.5","0.8",".441",".367",".847","3.0",".065","-1.9","0.1"
"24","24","CLE","Jared Cunningham","Oregon State","4","84","7.2","2.3","0.7","0.5",".347",".306",".674","0.2",".017","-5.7","-0.6"
"25","25","MEM","Tony Wroten","Washington","4","145","21.2","11.1","2.5","3.0",".413",".231",".647","-1.3","-.021","-3.4","-1.1"
"26","26","IND","Miles Plumlee","Duke","7","346","16.4","4.9","4.5","0.5",".542","",".543","10.6",".090","-1.9","0.2"
"27","27","MIA","Arnett Moultrie","Mississippi State","2","59","12.4","3.6","3.1","0.2",".547","",".667","1.7",".113","-2.8","-0.1"
"28","28","OKC","Perry Jones","Baylor","3","143","11.7","3.4","1.8","0.4",".420",".293",".660","1.7",".048","-3.5","-0.6"
"29","29","CHI","Marquis Teague","Kentucky","3","91","10.0","2.4","1.0","1.5",".343",".222",".661","-0.9","-.045","-6.5","-1.0"
"30","30","GSW","Festus Ezeli","Vanderbilt","3","170","14.1","4.2","4.3","0.4",".513","",".557","5.9",".119","-2.0","0.0"
"31","31","CHA","Jeffery Taylor","Vanderbilt","3","132","19.4","6.1","2.0","0.8",".409",".319",".665","1.3",".024","-4.2","-1.5"
"32","32","WAS","Tomáš Satoranský","","4","275","23.3","7.4","3.1","4.1",".469",".369",".817","13.8",".103","-0.6","2.3"
"33","33","CLE","Bernard James","Florida State","3","92","8.3","2.2","2.3","0.1",".497",".000",".680","1.9",".117","-1.8","0.0"
"34","34","CLE","Jae Crowder","Marquette","8","608","24.7","9.6","4.1","1.5",".421",".340",".778","32.5",".104","0.1","8.1"
"35","35","GSW","Draymond Green","Michigan State","8","576","28.1","9.0","6.9","5.0",".435",".319",".710","44.4",".132","2.8","19.5"
"36","36","SAC","Orlando Johnson","UC Santa Barbara","3","103","10.8","3.2","1.7","0.7",".358",".311",".727","1.4",".059","-2.4","-0.1"
"37","37","TOR","Quincy Acy","Baylor","7","337","16.0","4.9","3.5","0.6",".444",".350",".759","8.7",".078","-2.0","-0.1"
"38","38","DEN","Quincy Miller","Baylor","3","69","13.5","4.3","2.4","0.5",".350",".292",".706","-0.1","-.003","-3.9","-0.5"
"39","39","DET","Khris Middleton","Texas A&M","8","517","31.5","16.3","4.6","3.4",".458",".392",".876","38.9",".115","0.5","10.4"
"40","40","POR","Will Barton","Memphis","8","496","24.4","11.1","4.2","2.5",".434",".347",".786","20.6",".082","0.0","6.2"
"41","41","POR","Tyshawn Taylor","Kansas","2","61","8.0","2.9","0.5","0.9",".354",".360",".684","-0.9","-.088","-8.1","-0.8"
"42","42","MIL","Doron Lamb","Kentucky","2","100","12.7","3.5","1.0","0.8",".381",".394",".700","0.1",".005","-5.8","-1.2"
"43","43","ATL","Mike Scott","Virginia","8","504","16.5","7.0","3.2","0.9",".459",".364",".759","15.8",".091","-1.6","0.8"
"44","44","DET","Kim English","Missouri","1","41","9.9","2.9","0.9","0.6",".375",".280",".724","0.2",".021","-4.2","-0.2"
"45","45","PHI","Justin Hamilton","LSU","3","113","17.4","6.1","3.6","0.8",".464",".309",".798","3.7",".091","-0.9","0.5"
"46","46","NOH","Darius Miller","Kentucky","5","253","20.4","6.0","1.7","1.4",".418",".382",".830","5.9",".055","-2.5","-0.7"
"47","47","UTA","Kevin Murphy","Tennessee Technological University","1","17","3.1","0.9","0.2","0.1",".250",".200","","-0.3","-.272","-16.8","-0.2"
"48","48","NYK","Kostas Papanikolaou","","2","69","15.8","3.6","2.3","1.5",".354",".297",".688","0.3",".015","-2.7","-0.2"
"49","49","ORL","Kyle O'Quinn","Norfolk State","8","472","14.2","5.4","4.6","1.4",".517",".218",".740","17.8",".128","0.9","5.0"
"50","50","DEN","İzzet Türkyılmaz","","","","","","","","","","","","","",""
"51","51","BOS","Kris Joseph","Syracuse","1","10","5.4","0.9","0.7","0.1",".143",".000",".625","-0.1","-.127","-9.9","-0.1"
"52","52","GSW","Ognjen Kuzmić","","2","37","4.4","0.9","1.0","0.2",".520","",".600","0.2",".061","-5.6","-0.2"
"53","53","LAC","Furkan Aldemir","","1","41","13.2","2.3","4.3","0.7",".513",".000",".481","1.4",".122","-3.6","-0.2"
"54","54","PHI","Tornike Shengelia","","2","45","5.5","1.3","0.9","0.4",".451",".125",".500","-0.2","-.032","-7.0","-0.3"
"55","55","DAL","Darius Johnson-Odom","Marquette","2","7","3.0","0.0","0.9","0.3",".000",".000",".000","-0.3","-.597","-25.5","-0.1"
"56","56","TOR","Tomislav Zubčić","","","","","","","","","","","","","",""
"57","57","NJN","İlkan Karaman","","","","","","","","","","","","","",""
"58","58","MIN","Robbie Hummel","Purdue","2","98","14.3","3.9","2.7","0.5",".418",".343",".867","1.9",".066","-3.1","-0.4"
"59","59","SAS","Marcus Denmon","Missouri","","","","","","","","","","","","",""
"60","60","LAL","Robert Sacre","Gonzaga","4","189","14.5","4.2","3.1","0.7",".436",".000",".671","2.4",".042","-4.0","-1.4"
"1","1","CLE","Kyrie Irving","Duke","9","528","33.8","22.4","3.7","5.7",".466",".390",".877","61.3",".165","4.5","29.2"
"2","2","MIN","Derrick Williams","Arizona","7","428","20.7","8.9","4.0","0.7",".434",".300",".710","14.1",".076","-1.6","0.8"
"3","3","UTA","Enes Kanter","","9","641","21.7","11.6","7.6","0.9",".543",".287",".776","44.0",".151","-0.2","6.4"
"4","4","CLE","Tristan Thompson","Texas","9","619","28.1","9.4","8.7","1.0",".518",".281",".610","43.1",".119","-1.6","1.8"
"5","5","TOR","Jonas Valančiūnas","","8","559","25.3","12.4","8.9","0.9",".562",".355",".781","52.3",".177","0.8","9.9"
"6","6","WAS","Jan Veselý","","3","162","15.2","3.6","3.5","0.6",".521",".000",".408","4.0",".078","-2.6","-0.4"
"7","7","SAC","Bismack Biyombo","","9","636","20.2","5.1","6.2","0.5",".520",".000",".575","25.3",".095","-2.6","-1.9"
"8","8","DET","Brandon Knight","Kentucky","8","446","29.5","14.1","3.1","4.0",".411",".353",".806","11.5",".042","-1.6","1.5"
"9","9","CHA","Kemba Walker","UConn","9","661","33.8","19.9","3.8","5.4",".419",".360",".837","54.4",".117","2.9","27.8"
"10","10","MIL","Jimmer Fredette","BYU","6","241","13.3","6.0","1.0","1.4",".409",".372",".879","2.2",".033","-2.5","-0.4"
"11","11","GSW","Klay Thompson","Washington State","8","615","33.1","19.5","3.5","2.3",".459",".419",".848","46.8",".110","0.7","14.2"
"12","12","UTA","Alec Burks","Colorado","9","495","21.8","10.3","3.2","1.9",".422",".364",".791","16.7",".074","-1.1","2.5"
"13","13","PHO","Markieff Morris","Kansas","9","637","25.5","11.4","5.3","1.7",".448",".345",".778","25.2",".074","-1.3","3.0"
"14","14","HOU","Marcus Morris","Kansas","9","607","27.0","12.1","4.7","1.5",".432",".367",".759","30.4",".089","-0.5","6.1"
"15","15","IND","Kawhi Leonard","San Diego State","9","524","31.0","18.7","6.4","2.7",".491",".383",".855","74.5",".220","6.8","36.2"
"16","16","PHI","Nikola Vučević","USC","9","598","30.3","16.1","10.2","2.6",".499",".335",".746","48.1",".127","2.0","18.2"
"17","17","NYK","Iman Shumpert","Georgia Tech","9","459","25.0","7.2","3.3","1.8",".392",".338",".764","12.9",".054","-1.7","0.9"
"18","18","WAS","Chris Singleton","Florida State","3","148","17.6","4.1","3.2","0.6",".376",".319",".633","2.3",".042","-3.2","-0.8"
"19","19","CHA","Tobias Harris","Tennessee","9","618","30.8","15.9","6.1","2.0",".471",".365",".820","45.7",".115","0.9","14.1"
"20","20","MIN","Donatas Motiejūnas","","6","251","18.2","7.3","3.8","1.1",".469",".300",".597","7.1",".075","-2.5","-0.5"
"21","21","POR","Nolan Smith","Duke","2","84","9.9","3.3","1.0","1.2",".371",".260",".714","-0.8","-.047","-6.0","-0.8"
"22","22","DEN","Kenneth Faried","Morehead State University","8","478","24.5","11.4","8.1","1.0",".546",".222",".654","38.8",".159","0.5","7.5"
"23","23","HOU","Nikola Mirotić","","5","319","24.2","12.3","5.9","1.3",".423",".359",".808","20.8",".129","1.6","7.1"
"24","24","OKC","Reggie Jackson","Boston College","9","561","25.2","12.8","3.0","4.4",".428",".337",".858","29.4",".100","0.4","8.7"
"25","25","BOS","MarShon Brooks","Providence","5","200","17.3","8.0","2.1","1.4",".447",".345",".751","3.3",".046","-1.6","0.4"
"26","26","DAL","Jordan Hamilton","Texas","5","151","13.9","5.9","2.8","0.8",".408",".357",".670","3.0",".069","-0.1","1.0"
"27","27","NJN","JaJuan Johnson","Purdue","1","36","8.3","3.2","1.6","0.2",".446","",".667","0.2",".032","-3.9","-0.1"
"28","28","CHI","Norris Cole","Cleveland State University","6","360","22.3","7.0","2.0","2.7",".407",".324",".743","3.0",".018","-4.1","-4.1"
"29","29","SAS","Cory Joseph","Texas","9","600","21.9","6.9","2.6","2.9",".441",".332",".769","24.1",".088","-0.9","3.8"
